folder_basename,Class_before,Class_after
DCN_whole,1,5
DCN_whole,2,2
DCN_whole,3,1
DCN_whole,4,7
DCN_whole,5,4
DCN_whole,6,9
DCN_whole,7,6
DCN_whole,8,3
DCN_whole,9,8
DCN_without_Dense,1,7
DCN_without_Dense,2,4
DCN_without_Dense,3,3
DCN_without_Dense,4,2
DCN_without_Dense,5,1
DCN_without_Dense,6,5
DCN_without_Dense,7,8
DCN_without_Dense,8,9
DCN_without_Dense,9,6
DCN_without_kmeans_average,1,7
DCN_without_kmeans_average,2,2
DCN_without_kmeans_average,3,5
DCN_without_kmeans_average,4,6
DCN_without_kmeans_average,5,4
DCN_without_kmeans_average,6,3
DCN_without_kmeans_average,8,1
DCN_without_smooth_and_dilation,1,8
DCN_without_smooth_and_dilation,2,6
DCN_without_smooth_and_dilation,3,2
DCN_without_smooth_and_dilation,4,5
DCN_without_smooth_and_dilation,6,7
DCN_without_smooth_and_dilation,7,1
DCN_without_smooth_and_dilation,8,4
DCN_without_smooth_and_dilation,9,3
DCN_kmeans_only,1,5
DCN_kmeans_only,2,9
DCN_kmeans_only,3,6
DCN_kmeans_only,4,8
DCN_kmeans_only,5,4
DCN_kmeans_only,6,7
DCN_kmeans_only,7,1
DCN_kmeans_only,8,3
DCN_kmeans_only,9,2
